,restaurant,lat,lon,address,price($),tag,star,description,tokens,dominant_topic,topic_id,consumer_type,consumer_scene
10,Tempura Matsui,40.748191,-73.974663,"222 E. 39th St., New York, 10016, USA",4,"Japanese, Tempura",1,"Tempura Matsui skillfully demonstrates why tempura is a celebrated Japanese cuisine type in its own right. The prized seats are at the counter, especially if you want to see the master at work.
The chef uses a mix of sesame and cottonseed oils and the batter is used sparingly. You’ll start with a seasonal soup including seared scallop with wheat cake, before having some beautifully arranged sashimi. Then, the main event begins in the traditional way with crispy shrimp legs. Dishes turned out of this kitchen usually vary according to the seasons, but could include the likes of wonderfully tender squid, succulent Hokkaido scallop, tender cauliflower, as well as snow crab wrapped in shiso leaf. Be sure to end with tencha, with its mellow and deeply flavorful broth.","['tempura', 'matsui', 'skill', 'demonstr', 'whi', 'tempura', 'celebr', 'japanes', 'cuisin', 'type', 'own', 'right', 'prize', 'seat', 'counter', 'especi', 'want', 'see', 'master', 'work', 'chef', 'use', 'mix', 'sesam', 'cottonse', 'oil', 'batter', 'use', 'sparingli', 'youll', 'start', 'soup', 'includ', 'sear', 'scallop', 'wheat', 'cake', 'befor', 'have', 'some', 'beauti', 'arrang', 'sashimi', 'then', 'main', 'event', 'begin', 'way', 'crispi', 'shrimp', 'leg', 'dish', 'turn', 'out', 'kitchen', 'usual', 'vari', 'accord', 'season', 'but', 'could', 'includ', 'like', 'wonder', 'tender', 'squid', 'succul', 'hokkaido', 'scallop', 'tender', 'cauliflow', 'well', 'snow', 'crab', 'wrap', 'shiso', 'leaf', 'sure', 'end', 'tencha', 'mellow', 'deepli', 'flavor', 'broth']",1,1,3,"Romantic & Intimate Dining (Calm, Private, Ambience-Focused)"
11,Restaurant Yuu,40.723363,-73.952163,"55 Nassau Ave., Brooklyn, 11222, USA",4,"French, Contemporary, Japanese",1,"At the start of service, the lights dim and servers pull back curtains to reveal the full kitchen team dressed in stark whites and standing at attention. This is just the beginning of a carefully choreographed performance by Chef Yuu Shimano, whose classic French training and Japanese heritage translates to beauty and boldness on the plate. The lengthy menu celebrates top-grade shellfish and proteins that waver between light and indulgent. Think smoked surf clam with celeriac or abalone risotto with nori powder. The signature duck and foie pastry is a treasure from another era, while a pre-dessert “mojito” is a sweet flash of modern-day brilliance. The warehouse-chic space is impressive in scale and carefully tended to by a quiet but attentive team.","['start', 'servic', 'light', 'dim', 'server', 'pull', 'back', 'curtain', 'reveal', 'full', 'kitchen', 'team', 'dress', 'stark', 'white', 'stand', 'attent', 'begin', 'care', 'choreograph', 'perform', 'chef', 'yuu', 'shimano', 'whose', 'classic', 'french', 'train', 'japanes', 'heritag', 'translat', 'beauti', 'bold', 'plate', 'lengthi', 'menu', 'celebr', 'topgrad', 'shellfish', 'protein', 'waver', 'between', 'light', 'indulg', 'think', 'smoke', 'surf', 'clam', 'celeriac', 'abalon', 'risotto', 'nori', 'powder', 'signatur', 'duck', 'foie', 'pastri', 'treasur', 'anoth', 'era', 'while', 'predessert', 'mojito', 'sweet', 'flash', 'modernday', 'brillianc', 'warehousech', 'space', 'scale', 'care', 'tend', 'quiet', 'but', 'attent', 'team']",2,2,4,"Gourmet Exploration (Curated, Inventive, Detail-Oriented Culinary Experiences)"
12,Chef's Table at Brooklyn Fare,40.756082,-73.9965,"431 W. 37th St., New York, 10018, USA",4,Contemporary,2,"This famed address hidden in the back corner of a Hell’s Kitchen grocery store has entered a new era under Chefs Max Natmessnig and Marco Prins. The room is a box of luxury and sparkles as bright as ever under the spotlights, with most guests seated at a glossy walnut counter that wraps around a brigade of cooks who have nowhere to hide. The team works quickly, sending out a volley of delicate tarts and bites that showcase skill and refinement. Highlights have included sea scallop in a lush brown butter sauce, turbot with firefly squid and herb-oil swirled buttermilk, and buri tartare with smoky creme fraiche and finger lime. All the while, an excellent service team keeps close watch from all corners of the room.","['fame', 'address', 'hidden', 'back', 'corner', 'hell', 'kitchen', 'groceri', 'store', 'enter', 'new', 'era', 'under', 'chef', 'max', 'natmessnig', 'marco', 'prin', 'room', 'box', 'sparkl', 'bright', 'ever', 'under', 'spotlight', 'most', 'guest', 'seat', 'glossi', 'walnut', 'counter', 'wrap', 'around', 'brigad', 'cook', 'who', 'nowher', 'hide', 'team', 'work', 'quickli', 'send', 'out', 'volley', 'delic', 'tart', 'bite', 'showcas', 'skill', 'refin', 'highlight', 'includ', 'sea', 'scallop', 'lush', 'brown', 'butter', 'sauc', 'turbot', 'firefli', 'squid', 'herboil', 'swirl', 'buttermilk', 'buri', 'tartar', 'smoki', 'creme', 'fraich', 'finger', 'lime', 'while', 'servic', 'team', 'keep', 'close', 'watch', 'corner', 'room']",1,1,3,"Romantic & Intimate Dining (Calm, Private, Ambience-Focused)"
13,Sushi Sho,40.752698,-73.980801,"3 E. 41st St., New York, 10017, USA",4,Sushi,2,"In the shadow of the New York Public Library, Chef Keiji Nakazawa exemplifies mastery of the highest order. An omakase like no other, the progression ebbs and flows with a dazzling variety of fish, shellfish, vegetables, and more—all aged, fermented, and pickled for weeks, months, and sometimes years. Rice is treated with reverence; seasoned to suit and complement the range of fish. The setting is its own marvel and features a spacious, eight-seat Hinoki counter flanked by towering ice boxes fronted with carved wood doors, while all around, the kitchen and service teams work in perfect tandem. In total, the pace, breadth, and persistence of excellence that unfolds here will impress even the most experienced sushi enthusiasts.","['shadow', 'new', 'york', 'public', 'librari', 'chef', 'keiji', 'nakazawa', 'exemplifi', 'masteri', 'highest', 'order', 'omakas', 'like', 'other', 'progress', 'ebb', 'flow', 'dazzl', 'varieti', 'fish', 'shellfish', 'veget', 'moreal', 'age', 'ferment', 'pickl', 'week', 'month', 'sometim', 'year', 'rice', 'treat', 'rever', 'season', 'suit', 'complement', 'rang', 'fish', 'set', 'own', 'marvel', 'featur', 'spaciou', 'eightseat', 'hinoki', 'counter', 'flank', 'tower', 'ice', 'box', 'front', 'carv', 'wood', 'door', 'while', 'around', 'kitchen', 'servic', 'team', 'work', 'tandem', 'total', 'pace', 'breadth', 'persist', 'excel', 'unfold', 'here', 'will', 'impress', 'even', 'most', 'experienc', 'sushi', 'enthusiast']",7,7,1,"Business Fine Dining (Elegant, Secure, Executive Atmosphere)"
14,Gabriel Kreuther,40.75397,-73.982025,"41 W. 42nd St., New York, 10036, USA",4,"Contemporary, Alsatian",2,"Distinctively housed at the base of the Grace building, this modern dining room happens to be perfect for celebrating special occasions. 
Dishes reflect global sensibilities with a strong creative edge, as in the Montauk red shrimp tartare crowned with a cayenne tuile, surrounded by a creamy jalapeño coulis. Foie gras arrives in myriad guises, perhaps as a seared lobe as rich as custard, surrounded by roasted quince, chestnuts and vanilla gastrique. Old-school luxuries extend right through to the cheese trolley. The cocktail list is dedicated to the history of Bryant Park across the street, while as an homage to the eponymous chef’s Alsatian heritage, the wine selection prominently features rieslings, pinot blancs and gewürztraminers.","['distinct', 'hous', 'base', 'grace', 'build', 'dine', 'room', 'happen', 'celebr', 'occas', 'dish', 'reflect', 'global', 'sensibl', 'strong', 'edg', 'montauk', 'red', 'shrimp', 'tartar', 'crown', 'cayenn', 'tuil', 'surround', 'creami', 'jalapeo', 'couli', 'foie', 'gra', 'arriv', 'myriad', 'guis', 'perhap', 'sear', 'lobe', 'rich', 'custard', 'surround', 'roast', 'quinc', 'chestnut', 'vanilla', 'gastriqu', 'oldschool', 'luxuri', 'extend', 'right', 'through', 'chees', 'trolley', 'cocktail', 'list', 'dedic', 'histori', 'bryant', 'park', 'across', 'street', 'while', 'homag', 'eponym', 'chef', 'alsatian', 'heritag', 'wine', 'select', 'promin', 'featur', 'riesl', 'pinot', 'blanc', 'gewrztramin']",0,0,1,"Business Fine Dining (Elegant, Secure, Executive Atmosphere)"
15,Le Pavillon,40.752517,-73.978369,"1 Vanderbilt Ave., New York, 10017, USA",4,"Contemporary, French",1,"It may have a classic-sounding name, but Le Pavillon resides in one of the city's newest skyscrapers. The elegant dining room, with its soaring ceilings, plate glass and warm palette, makes the well-heeled feel right at home. You'll rub shoulders with many at the bar, a prized perch crowned by a dramatic blown glass chandelier.
Chef Daniel Boulud and his talented team of Chefs Michael Balboni and Will Nacev skillfully prepare a contemporary, globally inflected carte dominated by seafood and vegetable-focused items. Recent highlights included torchetti pasta with Maryland jumbo lump crabmeat and a flourish of heirloom sweet peppers; or the amber-skinned rotisserie chicken breast with a root vegetable pot pie.","['may', 'classicsound', 'name', 'but', 'pavillon', 'resid', 'one', 'citi', 'newest', 'skyscrap', 'dine', 'room', 'soar', 'ceil', 'plate', 'glass', 'warm', 'palett', 'make', 'wellheel', 'feel', 'right', 'home', 'youll', 'rub', 'shoulder', 'mani', 'bar', 'prize', 'perch', 'crown', 'dramat', 'blown', 'glass', 'chandeli', 'chef', 'daniel', 'boulud', 'hi', 'talent', 'team', 'chef', 'michael', 'balboni', 'will', 'nacev', 'skill', 'prepar', 'contemporari', 'global', 'inflect', 'cart', 'domin', 'seafood', 'vegetablefocus', 'item', 'recent', 'highlight', 'includ', 'torchetti', 'pasta', 'maryland', 'jumbo', 'lump', 'crabmeat', 'flourish', 'heirloom', 'sweet', 'pepper', 'amberskin', 'rotisseri', 'chicken', 'breast', 'root', 'veget', 'pot', 'pie']",3,3,3,"Romantic & Intimate Dining (Calm, Private, Ambience-Focused)"
16,Jōji,40.753263,-73.978345,"1 Vanderbilt Ave., New York, 10017, USA",4,"Japanese, Sushi",1,"Hidden away in a corner of Grand Central, at the base of the ritzy One Vanderbilt building, Jōji presents a disarming oasis of calm and sophistication amidst the hustle and bustle. The meal begins with small plates that blend Japanese flavors with seasonal elements, as in a sashimi of buri with green apple, ginger, and yuzu zest, followed by nigiri featuring a blend of Koshihikari and Nanatsuboshi rice, carefully vinegared to showcase the flavor of the fish. The variety of excellent seafood, largely sourced from Toyosu Market, is impressive, and even devoted sybarites will leave satisfied. Expect an abundance of luxury ingredients (and commensurate pricing), like a lightly cooked langoustine layered with creamy petals of uni, or a delicate, silky chawanmushi topped with golden Osetra.","['hidden', 'away', 'corner', 'grand', 'central', 'base', 'ritzi', 'one', 'vanderbilt', 'build', 'jji', 'present', 'disarm', 'oasi', 'calm', 'sophist', 'amidst', 'hustl', 'bustl', 'meal', 'begin', 'small', 'plate', 'blend', 'japanes', 'flavor', 'element', 'sashimi', 'buri', 'green', 'appl', 'ginger', 'yuzu', 'zest', 'follow', 'nigiri', 'featur', 'blend', 'koshihikari', 'nanatsuboshi', 'rice', 'care', 'vinegar', 'showcas', 'flavor', 'fish', 'varieti', 'seafood', 'larg', 'sourc', 'toyosu', 'market', 'even', 'devot', 'sybarit', 'will', 'leav', 'satisfi', 'expect', 'abund', 'ingredi', 'commensur', 'price', 'like', 'lightli', 'cook', 'langoustin', 'layer', 'creami', 'petal', 'uni', 'delic', 'silki', 'chawanmushi', 'top', 'golden', 'osetra']",2,2,4,"Gourmet Exploration (Curated, Inventive, Detail-Oriented Culinary Experiences)"
17,Sushi Amane,40.751442,-73.971713,"245 E. 44th St., New York, 10017, USA",4,"Japanese, Sushi",1,"Diners arrive for their reservations at Sushi Amane and are quickly ushered downstairs to a silky wood counter with seating for slightly more than a handful manned by Chef Tomoyuki Hayashi. Attention to detail and consistency are his calling card. Savor creamy uni; delicious, lightly seared bonito with a dot of bitter green herb-laced sauce; steamed scallop wrapped in nori; and tender abalone, among other selections. Nigiri is given just a light brush of nikiri to keep the spotlight on its natural flavor, whether that’s the silvery kohada, white squid, or the golden anago. Fish is delivered every morning, including Saturday, allowing guests to experience the freshest and most seasonally minded product possible. ","['diner', 'arriv', 'reserv', 'sushi', 'aman', 'quickli', 'usher', 'downstair', 'silki', 'wood', 'counter', 'seat', 'slightli', 'more', 'than', 'hand', 'man', 'chef', 'tomoyuki', 'hayashi', 'attent', 'detail', 'consist', 'hi', 'call', 'card', 'savor', 'creami', 'uni', 'lightli', 'sear', 'bonito', 'dot', 'bitter', 'green', 'herblac', 'sauc', 'steam', 'scallop', 'wrap', 'nori', 'tender', 'abalon', 'among', 'other', 'select', 'nigiri', 'given', 'light', 'brush', 'nikiri', 'keep', 'spotlight', 'natur', 'flavor', 'whether', 'that', 'silveri', 'kohada', 'white', 'squid', 'golden', 'anago', 'fish', 'deliv', 'everi', 'morn', 'includ', 'saturday', 'allow', 'guest', 'experi', 'freshest', 'most', 'season', 'mind', 'product', 'possibl']",2,2,4,"Gourmet Exploration (Curated, Inventive, Detail-Oriented Culinary Experiences)"
18,Meju,40.74366,-73.955518,"5-28 49th Ave., Queens, 11101, USA",4,"Korean, Regional Cuisine",1,"Hiding behind a banchan shop in Long Island City, this chef’s counter is as much a classroom as it is a restaurant. Chef Hooni Kim is a worthy guide as he builds a deeply personal menu around traditional Korean ingredients that he’s been wild fermenting and aging for the last decade. Dazzling versions of doenjang, gochujang, ganjang and ssamjang shine with silky tofu, fried pancakes, Miyazaki beef and Niman Ranch pork. He brings the room together and impresses with carefully calibrated dishes that appear strikingly minimalist. Details are impressive, and many of the service pieces are handmade from Korean clay. An unassuming bowl of rice with kimchi is an homage to his mentor. It is a poignant finale that looks rather ordinary but has long-lasting impact.","['hide', 'behind', 'banchan', 'shop', 'long', 'island', 'citi', 'chef', 'counter', 'much', 'classroom', 'restaur', 'chef', 'hooni', 'kim', 'worthi', 'guid', 'build', 'deepli', 'person', 'menu', 'around', 'korean', 'ingredi', 'he', 'wild', 'ferment', 'age', 'last', 'decad', 'dazzl', 'version', 'doenjang', 'gochujang', 'ganjang', 'ssamjang', 'shine', 'silki', 'tofu', 'fri', 'pancak', 'miyazaki', 'beef', 'niman', 'ranch', 'pork', 'bring', 'room', 'togeth', 'impress', 'care', 'calibr', 'dish', 'appear', 'strikingli', 'minimalist', 'detail', 'mani', 'servic', 'piec', 'handmad', 'korean', 'clay', 'unassum', 'bowl', 'rice', 'kimchi', 'homag', 'hi', 'mentor', 'poignant', 'final', 'look', 'rather', 'ordinari', 'but', 'longlast', 'impact']",1,1,3,"Romantic & Intimate Dining (Calm, Private, Ambience-Focused)"
19,Kochi,40.761977,-73.993512,"652 Tenth Ave., New York, 10036, USA",4,"Korean, Contemporary",1,"The idea that tasting menus are hours-long and showy is far from true here, where an open kitchen is the obvious centerpiece. From here, a young team blitzes out an array of impressive grilled bites meant to be eaten with your hands—Kochi is Korean for skewer, after all.
Chef Sungchul Shim taps into his Korean roots and fine-dining pedigree to create a solid but playful menu. A bowl of finely diced raw steelhead trout is topped with pickled cherry tomatoes and cucumber with a tomato and basil foam, then Iberico pork is done three ways, from char siu and ssamjang to skewered with pickled apple. Blackberry lime sorbet with a Calpico and smoked vanilla oil foam and mezcal-soaked blackberries is the last hurrah.","['idea', 'tast', 'menu', 'hourslong', 'showi', 'far', 'true', 'here', 'where', 'open', 'kitchen', 'obviou', 'centerpiec', 'here', 'young', 'team', 'blitz', 'out', 'array', 'grill', 'bite', 'meant', 'eaten', 'handskochi', 'korean', 'skewer', 'after', 'chef', 'sungchul', 'shim', 'tap', 'hi', 'korean', 'root', 'finedin', 'pedigre', 'creat', 'solid', 'but', 'play', 'menu', 'bowl', 'fine', 'dice', 'raw', 'steelhead', 'trout', 'top', 'pickl', 'cherri', 'tomato', 'cucumb', 'tomato', 'basil', 'foam', 'then', 'iberico', 'pork', 'done', 'three', 'way', 'char', 'siu', 'ssamjang', 'skewer', 'pickl', 'appl', 'blackberri', 'lime', 'sorbet', 'calpico', 'smoke', 'vanilla', 'oil', 'foam', 'mezcalsoak', 'blackberri', 'last', 'hurrah']",0,0,1,"Business Fine Dining (Elegant, Secure, Executive Atmosphere)"
20,Mari,40.761559,-73.990465,"679 Ninth Ave., New York, 10036, USA",4,Korean,1,"Mari, which means “roll” in Korean, is Hell’s Kitchen’s latest destination from the talented Sungchul Shim, who made a name for himself at his tasting counter (Kochi) just down the street. Those familiar with casual Japanese handroll counters are in for a surprise as Chef Shim reimagines the genre as a tasting menu, primed with top-notch ingredients and Korean flavors.
Glistening planks of Scottish salmon; tender strips of cured mackerel; and three types of mushrooms are placed on beds of rice cradled in seaweed. Chefs work swiftly, moving from one roll to the next with nowhere to hide in this kitchen, flanked by counter seats on all sides. A tray of banchan and seafood closes out the meal.","['mari', 'which', 'mean', 'roll', 'korean', 'hell', 'kitchen', 'latest', 'destin', 'talent', 'sungchul', 'shim', 'who', 'made', 'name', 'himself', 'hi', 'tast', 'counter', 'kochi', 'down', 'street', 'those', 'familiar', 'casual', 'japanes', 'handrol', 'counter', 'surpris', 'chef', 'shim', 'reimagin', 'genr', 'tast', 'menu', 'prime', 'topnotch', 'ingredi', 'korean', 'flavor', 'glisten', 'plank', 'scottish', 'salmon', 'tender', 'strip', 'cure', 'mackerel', 'three', 'type', 'mushroom', 'place', 'bed', 'rice', 'cradl', 'seawe', 'chef', 'work', 'swiftli', 'move', 'one', 'roll', 'next', 'nowher', 'hide', 'kitchen', 'flank', 'counter', 'seat', 'side', 'tray', 'banchan', 'seafood', 'close', 'out', 'meal']",6,6,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
21,Le Bernardin,40.76177,-73.98223,"155 W. 51st St., New York, 10019, USA",4,Seafood,3,"Maguy Le Coze and Eric Ripert’s icon has been entertaining the city’s movers and shakers for close to 30 years and its popularity remains undimmed. Seafood restaurants have no hiding place when it comes to cooking fish or crustaceans and this kitchen always hits its marks—whether that’s lusciously sweet, seared langoustine in a truffled broth or golden-brown fluke with a bouillabaisse enriched with sea urchin. While seafood remains Ripert's passion, his vegetarian tasting menu makes waves with dishes like the Himalayan morel, spring pea and fava bean casserole or the warm artichoke panaché with vegetable risotto and Périgord black truffle vinaigrette. Finish with purple sweet potato baba au whisky cloaked with caramelized pecan whipped cream.","['maguy', 'coze', 'eric', 'ripert', 'icon', 'entertain', 'citi', 'mover', 'shaker', 'close', 'year', 'popular', 'remain', 'undim', 'seafood', 'restaur', 'hide', 'place', 'when', 'come', 'cook', 'fish', 'crustacean', 'kitchen', 'alway', 'hit', 'markswheth', 'that', 'luscious', 'sweet', 'sear', 'langoustin', 'truffl', 'broth', 'goldenbrown', 'fluke', 'bouillabaiss', 'enrich', 'sea', 'urchin', 'while', 'seafood', 'remain', 'ripert', 'passion', 'hi', 'vegetarian', 'tast', 'menu', 'make', 'wave', 'dish', 'like', 'himalayan', 'morel', 'spring', 'pea', 'fava', 'bean', 'casserol', 'warm', 'artichok', 'panach', 'veget', 'risotto', 'prigord', 'black', 'truffl', 'vinaigrett', 'finish', 'purpl', 'sweet', 'potato', 'baba', 'whiski', 'cloak', 'caramel', 'pecan', 'whip', 'cream']",2,2,4,"Gourmet Exploration (Curated, Inventive, Detail-Oriented Culinary Experiences)"
22,The Modern,40.76106,-73.97628,"9 W. 53rd St., New York, 10019, USA",4,Contemporary,2,"The Modern is designed to capture the iconic feel of the MoMA in which it is housed. Art enthusiasts can't help ogling at its glorious surrounds; while excellent acoustics facilitating quiet conversations ensure a steady stream of couples and globe-trotters. The kitchen is state of the art, so for a truly special experience book the chef's table inside. The staff perform a veritable ballet as they present diners with such appealingly nuanced dishes as a seed cracker with aged cheddar and butternut squash butter; or eggs on eggs, starring none other than soft-boiled eggs with sturgeon caviar. Turbot roasted on the bone may then arrive alongside rich parmesan cream.
Nurse a digestif—and marvel at the timeless sculpture garden view —for serenity embodied.","['design', 'captur', 'icon', 'feel', 'moma', 'which', 'hous', 'art', 'enthusiast', 'cant', 'help', 'ogl', 'gloriou', 'surround', 'while', 'acoust', 'facilit', 'quiet', 'convers', 'ensur', 'steadi', 'stream', 'coupl', 'globetrott', 'kitchen', 'state', 'art', 'truli', 'experi', 'book', 'chef', 'tabl', 'insid', 'staff', 'perform', 'verit', 'ballet', 'present', 'diner', 'appealingli', 'nuanc', 'dish', 'seed', 'cracker', 'age', 'cheddar', 'butternut', 'squash', 'butter', 'egg', 'egg', 'star', 'none', 'other', 'than', 'softboil', 'egg', 'sturgeon', 'caviar', 'turbot', 'roast', 'bone', 'may', 'then', 'arriv', 'alongsid', 'rich', 'parmesan', 'cream', 'nurs', 'digestifand', 'marvel', 'timeless', 'sculptur', 'garden', 'view', 'seren', 'embodi']",6,6,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
23,YingTao,40.765597,-73.98753,"805 9th Ave., New York, 10019, USA",4,"Contemporary, Chinese",1,"Owner Bolun Yao's beloved grandmother serves as both the namesake and culinary inspiration for this stylish Hell's Kitchen hideaway, an unassumingly ambitious project that aims to reinterpret Chinese cuisine through the lens of Western fine dining. Chef Jakub Baster lends his experienced hand to the effort, composing elegant dishes that blend a wide array of Chinese flavors and ingredients with elements of French technique and a contemporary style. The results are simultaneously inventive and familiar. Flavors tend toward subtlety, with careful attention paid to textures, as in a silky soy milk custard matched with celery root, and savory, mildly spiced doubanjiang, or rich crab noodles with egg yolk and smoked tobiko. To finish, a reimagining of nian gao (sweet rice cake) is sure to delight.","['owner', 'bolun', 'yao', 'belov', 'grandmoth', 'serv', 'both', 'namesak', 'culinari', 'inspir', 'hell', 'kitchen', 'hideaway', 'unassumingli', 'ambiti', 'project', 'aim', 'reinterpret', 'chines', 'cuisin', 'through', 'len', 'western', 'dine', 'chef', 'jakub', 'baster', 'lend', 'hi', 'experienc', 'hand', 'effort', 'compos', 'dish', 'blend', 'wide', 'array', 'chines', 'flavor', 'ingredi', 'element', 'french', 'techniqu', 'contemporari', 'style', 'result', 'simultan', 'invent', 'familiar', 'flavor', 'tend', 'toward', 'subtleti', 'care', 'attent', 'paid', 'textur', 'silki', 'soy', 'milk', 'custard', 'match', 'celeri', 'root', 'savori', 'mildli', 'spice', 'doubanjiang', 'rich', 'crab', 'noodl', 'egg', 'yolk', 'smoke', 'tobiko', 'finish', 'reimagin', 'nian', 'gao', 'sweet', 'rice', 'cake', 'sure', 'delight']",5,5,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
24,Aquavit,40.76078,-73.97214,"65 E. 55th St., New York, 10022, USA",4,"Scandinavian, Contemporary",2,"No detail goes unnoticed at this contemporary Swedish beauty, sporting a sleek bar and open kitchen with Chef Emma Bengtsson at the helm. Enjoy the eponymous infused spirit along with bites from one of two dinner tasting menus. Expect glazed earthenware, slate platters and wooden boxes cradling the likes of a medallion of North Sea cod, torched ever so slightly, and accompanied by a light-textured mussel foam and petite wedges of roasted red endive. Lean and tender duck breast sided by a petite block of compressed leg meat is dressed tableside with a beet sauce enriched with duck jus. The meal may end with a composition of green apple and fennel featuring rye cake, apple ice, bitter caramel and whipped, smoked crème fraîche.","['detail', 'goe', 'unnot', 'contemporari', 'swedish', 'beauti', 'sport', 'sleek', 'bar', 'open', 'kitchen', 'chef', 'emma', 'bengtsson', 'helm', 'enjoy', 'eponym', 'infus', 'spirit', 'along', 'bite', 'one', 'two', 'dinner', 'tast', 'menu', 'expect', 'glaze', 'earthenwar', 'slate', 'platter', 'wooden', 'box', 'cradl', 'like', 'medallion', 'north', 'sea', 'cod', 'torch', 'ever', 'slightli', 'accompani', 'lighttextur', 'mussel', 'foam', 'petit', 'wedg', 'roast', 'red', 'endiv', 'lean', 'tender', 'duck', 'breast', 'side', 'petit', 'block', 'compress', 'leg', 'meat', 'dress', 'tablesid', 'beet', 'sauc', 'enrich', 'duck', 'ju', 'meal', 'may', 'end', 'composit', 'green', 'appl', 'fennel', 'featur', 'rye', 'cake', 'appl', 'ice', 'bitter', 'caramel', 'whip', 'smoke', 'crme', 'frach']",3,3,3,"Romantic & Intimate Dining (Calm, Private, Ambience-Focused)"
25,Per Se,40.768055,-73.982588,"10 Columbus Circle, New York, 10019, USA",4,"Contemporary, French",2,"An experience at Thomas Keller’s Per Se is one to be savored, recounted and remembered. Despite stellar views and a clever design allowing each table a view, your attention won’t stray from the plate. Such is the appeal of the place.
There are two menus, one of which is vegetarian and may highlight a playful twist on borscht, with red beet agnolotti and crème fraîche. Both menus end in a grand dessert finale, like seasonal confections as well as such classics as a cappuccino semifreddo served with brioche donuts. They do offer supplements using lavish ingredients, but unless you’re richer than Croesus, you needn’t consider them. Just put yourself in the chef's hands and relish a meal that is balanced, varied and as seasonal as it gets.","['experi', 'thoma', 'keller', 'per', 'one', 'savor', 'recount', 'rememb', 'despit', 'stellar', 'view', 'clever', 'design', 'allow', 'each', 'tabl', 'view', 'attent', 'wont', 'stray', 'plate', 'appeal', 'place', 'there', 'two', 'menu', 'one', 'which', 'vegetarian', 'may', 'highlight', 'play', 'twist', 'borscht', 'red', 'beet', 'agnolotti', 'crme', 'frach', 'both', 'menu', 'end', 'grand', 'dessert', 'final', 'like', 'confect', 'well', 'classic', 'cappuccino', 'semifreddo', 'serv', 'brioch', 'donut', 'offer', 'supplement', 'use', 'lavish', 'ingredi', 'but', 'unless', 'your', 'richer', 'than', 'croesu', 'neednt', 'consid', 'them', 'put', 'yourself', 'chef', 'hand', 'relish', 'meal', 'balanc', 'vari', 'get']",6,6,2,"Social Dining with Friends (Lively, Relaxed, Fun)"
26,Masa,40.76819,-73.98234,"10 Columbus Circle, New York, 10019, USA",4,"Japanese, Sushi",3,"There is nothing like an omakase in the care of Chef Masa Takayama. The commotion of Columbus Circle gives way to the calm, collected ceremony of a room anchored by a strikingly smooth hinoki counter. Everything is in place, as chefs and servers work with a kind of harmony that recalls ballet. Every decision, every move, is in the service of his distinctive style, which many have copied but none have mastered. Fragrant white and black truffles, pearly beads of Osetra caviar, and vibrant garnishes make for brilliant touches that straddle the line between luxury and excess. Few have both the imagination and the know-how to make foie gras nigiri, and few serve abalone so meltingly tender. It is a captivating experience that is singularly memorable.","['there', 'noth', 'like', 'omakas', 'care', 'chef', 'masa', 'takayama', 'commot', 'columbu', 'circl', 'give', 'way', 'calm', 'collect', 'ceremoni', 'room', 'anchor', 'strikingli', 'smooth', 'hinoki', 'counter', 'everyth', 'place', 'chef', 'server', 'work', 'kind', 'harmoni', 'recal', 'ballet', 'everi', 'decis', 'everi', 'move', 'servic', 'hi', 'distinct', 'style', 'which', 'mani', 'copi', 'but', 'none', 'master', 'fragrant', 'white', 'black', 'truffl', 'pearli', 'bead', 'osetra', 'caviar', 'vibrant', 'garnish', 'make', 'brilliant', 'touch', 'straddl', 'line', 'between', 'excess', 'few', 'both', 'imagin', 'knowhow', 'make', 'foie', 'gra', 'nigiri', 'few', 'serv', 'abalon', 'meltingli', 'tender', 'captiv', 'experi', 'singularli']",1,1,3,"Romantic & Intimate Dining (Calm, Private, Ambience-Focused)"
